"('Person', 'say')",175074
"('Person', 'think')",36751
"('Person', 'know')",32956
"('Person', 'look')",30490
"('Person', 'be')",28503
"('Person', 'go')",23564
"('Person', 'ask')",22671
"('Person', 'want')",19611
"('Person', 'have')",18435
"('Person', '�'m')",15449
"('Person', 'be', 'Person')",15403
"('Person', 'come')",14093
"('Person', 'sit')",12345
"('Person', 'feel')",12255
"('Person', 'see')",11600
"('Person', 'stand')",11078
"('Person', '’s')",10480
"('Person', 'do')",10332
"('Person', 'try')",9716
"('Person', 'turn')",9361
"('Person', 'get')",9266
"('Person', 'walk')",8135
"('Person', 'nod')",7441
"('Person', 'smile')",7151
"('Person', 'laugh')",6343
"('Person', 'wonder')",6211
"('Person', 'hear')",5960
"('Person', 'begin')",5854
"('Person', 'stop')",5590
"('Person', 'mean')",5559
"('Person', 'tell')",5453
"('Person', 'call')",5378
"('Person', '’re')",5023
"('Person', 'shake', 'head')",5021
"('Person', 'wait')",5005
"('Person', 'start')",4807
"('Person', 'remember')",4798
"('Person', 'speak')",4483
"('Person', 'talk')",4270
"('Person', 'keep')",4269
"('Person', 'find')",4250
"('Person', 'tell', 'he')",4132
"('Person', 'seem')",4099
"('Person', 'need')",3967
"('Person', 'stare')",3899
"('Person', 'have', 'Person')",3875
"('Person', 'move')",3866
"('Person', 'lean')",3711
"('Person', 'like')",3694
"('Person', 'believe')",3682
"('Person', 'make')",3503
"('Person', 'let')",3502
"('Person', 'watch')",3398
"('Person', 'tell', 'Person')",3377
"('Person', 'reach')",3323
"('Person', 'hope')",3203
"('Person', 'understand')",3079
"('Person', 'run')",3071
"('Person', 'realize')",3043
"('Person', 'live')",2993
"('Person', 'tell', 'she')",2954
"('Person', 'decide')",2945
"('Person', 'whisper')",2896
"('Person', 'step')",2778
"('Person', 'leave')",2734
"('Person', 'be', 'sure')",2670
"('Person', 'wish')",2659
"('Person', 'shrug')",2617
"('Person', 'guess')",2573
"('Person', 'pause')",2567
"('Person', 'cry')",2491
"('Person', 'reply')",2491
"('Person', 'continue')",2480
"('Person', 'stay')",2455
"('Person', 'answer')",2447
"('Person', 'suppose')",2444
"('Person', 'work')",2436
"('Person', 'imagine')",2365
"('Person', 'shout')",2326
"('Person', 'listen')",2323
"('Person', 'ask', 'Person')",2290
"('Person', 'sigh')",2265
"('Person', 'fall')",2231
"('Person', 'die')",2193
"('Person', 'return')",2186
"('Person', 'write')",2160
"('Person', 'see', 'Person')",2156
"('Person', 'point')",2133
"('Person', 'glance')",2070
"('Person', 'be', 'one')",2052
"('Person', 'explain')",2015
"('Person', 'use')",1982
"('Person', '’s', 'Person')",1965
"('Person', 'lie')",1925
"('Person', 'tell', 'you')",1917
"('Person', 'help')",1911
"('Person', 'sleep')",1906
"('Person', 'take')",1889
"('Person', 'drive')",1885
"('Person', 'add')",1884
"('Person', 'agree')",1877
"('Person', 'notice')",1867
"('Person', 'care')",1817
"('Person', 'pull')",1746
"('Person', 'ask', 'he')",1691
"('Person', 'be', 'able')",1648
"('Person', 'have', 'idea')",1640
"('Person', 'put', 'hand')",1606
"('Person', 'wake')",1586
"('Person', 'arrive')",1554
"('Person', 'lay')",1515
"('Person', 'appear')",1508
"('Person', 'do', 'it')",1469
"('Person', 'learn')",1467
"('Person', 'close', 'eye')",1431
"('Person', 'manage')",1326
"('Person', 'insist')",1311
"('Person', 'expect')",1309
"('Person', 'forget')",1297
"('Person', 'give')",1289
"('Person', '’m', 'Person')",1261
"('Person', 'be', 'right')",1243
"('Person', 'read')",1215
"('Person', 'grow')",1197
"('Person', 'open', 'door')",1189
"('Person', 'ask', 'she')",1170
"('Person', 'yell')",1160
"('Person', 'sound')",1154
"('Person', 'be', 'happy')",1142
"('Person', 'take', 'it')",1141
"('Person', 'rise')",1134
"('Person', 'love')",1131
"('Person', 'see', 'it')",1117
"('Person', 'hesitate')",1100
"('Person', 'hold', 'hand')",1057
"('Person', 'promise')",1052
"('Person', 'be', 'afraid')",1051
"('Person', 'jump')",1040
"('Person', 'suggest')",1029
