Bigram/Trigram,LLR,OddsRatio,P-Value
"('Person', 'have')",24548.85559,46.12036975,0
"('Person', 'think')",2267.196214,1.450020236,0
"('Person', 'go')",1959.872282,1.550399808,0
"('Person', 'come')",1834.682283,1.761054852,0
"('Person', 'write')",1593.122358,6.223522,0
"('Person', 'see')",1567.032812,1.782854221,0
"('Person', 'tell')",1512.699364,2.447756134,0
"('Person', 'am')",1376.870232,1.577514316,2.11E-301
"('Person', 'be')",1131.096171,1.339519915,5.09E-248
"('Person', 'drive')",1071.708689,4.373259188,3.61E-235
"('Person', 'live')",942.9184651,2.643786074,4.20E-207
"('Person', 'be', 'Person')",904.7690738,1.435752764,8.56E-199
"('Person', 'tell', 'she')",866.6441469,2.530026807,1.65E-190
"('Person', 'tell', 'we')",838.1323404,inf,1.71E-184
"('Person', 'score')",801.3151255,inf,1.73E-176
"('Person', 'tell', 'story')",716.9505676,inf,3.80E-158
"('Person', 'tell', 'myself')",678.6073905,inf,8.28E-150
"('Person', 'use')",627.6753634,2.653467892,1.35E-138
"('Person', 'tell', 'Person')",604.238233,1.979565364,1.86E-133
"('Person', 'weep')",598.8641228,inf,1.82E-132
"('Person', 'imagine')",593.5432901,2.317605081,4.13E-131
"('Person', 'stand')",553.4086349,1.392488104,2.12E-122
"('Person', 'have', 'money')",514.5395127,inf,4.02E-114
"('Person', 'read', 'it')",514.5395127,inf,4.02E-114
"('Person', 'gather')",506.8748286,inf,1.87E-112
"('Person', 'believe')",492.8063238,1.777730337,3.41E-109
"('Person', 'smoke')",488.4805128,inf,1.88E-108
"('Person', 'have', 'sense')",486.9477144,inf,4.05E-108
"('Person', 'light', 'cigarette')",482.3493773,inf,4.06E-107
"('Person', 'marry')",477.7511291,inf,4.06E-106
"('Person', 'tell', 'he')",474.2504709,1.692921496,3.43E-105
"('Person', 'are')",463.2061228,1.591746549,8.83E-103
"('Person', 'lead')",450.1636029,inf,4.10E-100
"('Person', 'ask', 'she')",444.0890072,3.010619681,1.20E-98
"('Person', 'listen')",428.9223754,2.005918883,2.33E-95
"('Person', 'ask', 'Person')",425.1136268,2.010479836,1.63E-94
"('Person', 'sit')",409.0618475,1.303920556,5.34E-91
"('Person', 'know', 'nothing')",408.7893424,inf,4.14E-91
"('Person', 'remember')",404.092214,1.555422537,6.95E-90
"('Person', 'cross')",402.6606252,inf,8.94E-90
"('Person', 'suffer')",401.1284808,inf,1.93E-89
"('Person', 'wonder')",398.3727572,1.461829978,1.21E-88
"('Person', 'sign')",393.4679739,inf,8.96E-88
"('Person', 'ask', 'he')",384.5988719,2.205097064,9.90E-86
"('Person', 'die')",380.9896563,1.956537569,5.89E-85
"('Person', 'park')",376.6161759,inf,4.18E-84
"('Person', 'wear', 'dress')",362.8297798,inf,4.19E-81
"('Person', 'have', 'face')",362.8297798,inf,4.19E-81
"('Person', 'say', 'thing')",362.8297798,inf,4.19E-81
"('Person', 'teach')",362.8297798,inf,4.19E-81
"('Person', 'long')",359.7663227,inf,1.95E-80
"('Person', 'imagine', 'Person')",358.2346205,inf,4.20E-80
"('Person', 'exist')",356.7029359,inf,9.05E-80
"('Person', 'read')",349.3637341,2.502241743,4.65E-78
"('Person', 'report')",345.981653,inf,1.96E-77
"('Person', 'reckon')",345.981653,inf,1.96E-77
"('Person', 'know', 'anything')",339.8556194,inf,4.22E-76
"('Person', 'be', 'ashamed')",336.7927198,inf,1.96E-75
"('Person', 'wear', 'suit')",335.2613,inf,4.23E-75
"('Person', 'call', 'it')",332.1985209,inf,1.96E-74
"('Person', 'refer')",324.5419362,inf,9.13E-73
"('Person', 'put', 'finger')",318.4170545,inf,1.97E-71
"('Person', 'write', 'letter')",316.8858894,inf,4.25E-71
"('Person', 'talk')",312.9132901,1.505018771,4.55E-70
"('Person', 'turn', 'it')",309.2304062,inf,1.98E-69
"('Person', 'is', 'Person')",308.2475748,1.880931896,4.14E-69
"('Person', 'return')",305.9091533,1.805305836,1.31E-68
"('Person', 'squat')",303.106444,inf,4.26E-68
"('Person', 'say', 'that')",303.106444,inf,4.26E-68
"('Person', 'march')",301.5755144,inf,9.19E-68
"('Person', 'speak')",300.0960074,1.475234347,3.09E-67
"('Person', 'work')",298.4380862,1.72772676,6.77E-67
"('Person', 'have', 'Person')",297.4830974,1.521259729,9.98E-67
"('Person', 'have', 'memory')",295.4520466,inf,1.98E-66
"('Person', 'marry', 'Person')",295.4520466,inf,1.98E-66
"('Person', 'save')",293.9212437,inf,4.28E-66
"('Person', 'buy')",290.8597165,inf,1.99E-65
"('Person', 'be', 'people')",289.3289927,inf,4.28E-65
"('Person', 'take', 'arm')",287.7982959,inf,9.23E-65
"('Person', 'put', 'head')",287.7982959,inf,9.23E-65
"('Person', 'walk')",286.482544,1.31547796,2.67E-64
"('Person', 'picture')",286.2676263,inf,1.99E-64
"('Person', 'turn', 'light')",281.6757837,inf,1.99E-63
"('Person', 'visit')",281.6757837,inf,1.99E-63
"('Person', 'meet', 'he')",278.6146968,inf,9.25E-63
"('Person', 'swim')",278.6146968,inf,9.25E-63
"('Person', 'wear', 'shirt')",277.0841968,inf,1.99E-62
"('Person', 'know', 'she')",272.4928737,inf,2.00E-61
"('Person', 'appear')",271.0486187,1.984370961,5.54E-61
"('Person', 'arrange')",270.9624928,inf,4.30E-61
"('Person', 'see', 'that')",269.4321426,inf,9.27E-61
"('Person', 'keep', 'it')",267.9018234,inf,2.00E-60
"('Person', 'be', 'furious')",267.9018234,inf,2.00E-60
"('Person', 'read', 'book')",266.3715354,inf,4.31E-60
"('Person', 'tell', 'you')",266.1956766,1.800669872,6.45E-60
"('Person', 'hear', 'he')",263.311055,inf,2.00E-59
"('Person', 'recognize', 'Person')",261.7808632,inf,4.31E-59
"('Person', 'see', 'Person')",260.4599485,1.720274701,1.18E-58
"('Person', 'pass', 'Person')",260.2507041,inf,9.30E-59
"('Person', 'look', 'window')",257.1904859,inf,4.32E-58
"('Person', 'have', 'job')",257.1904859,inf,4.32E-58
"('Person', 'invite')",255.6604275,inf,9.31E-58
"('Person', 'study')",255.6604275,inf,9.31E-58
"('Person', 'call', 'she')",255.6604275,inf,9.31E-58
"('Person', 'vanish')",254.1304034,inf,2.01E-57
"('Person', 'retreat')",252.600414,inf,4.32E-57
"('Person', 'see', 'something')",251.0704598,inf,9.32E-57
"('Person', 'turn', 'back')",249.5405411,inf,2.01E-56
"('Person', 'find', 'she')",249.5405411,inf,2.01E-56
"('Person', 'be', 'full')",249.5405411,inf,2.01E-56
"('Person', 'venture')",246.4808122,inf,9.33E-56
"('Person', 'ride')",245.365268,3.804940142,1.83E-55
"('Person', 'stroll')",244.9510028,inf,2.01E-55
"('Person', 'sweat')",244.9510028,inf,2.01E-55
"('Person', 'make', 'effort')",243.4212307,inf,4.33E-55
"('Person', 'serve')",243.4212307,inf,4.33E-55
"('Person', 'thank', 'he')",243.4212307,inf,4.33E-55
"('Person', 'reflect')",241.8914964,inf,9.34E-55
"('Person', 'raise', 'glass')",241.8914964,inf,9.34E-55
"('Person', 'put', 'they')",240.3618004,inf,2.01E-54
"('Person', 'object')",240.3618004,inf,2.01E-54
"('Person', 'be', 'delighted')",240.3618004,inf,2.01E-54
"('Person', 'arrive')",238.5740839,1.866344059,7.07E-54
"('Person', 'ring')",237.302525,inf,9.35E-54
"('Person', 'call', 'Person')",237.2842289,2.493755036,1.44E-53
"('Person', 'hear')",236.8672667,1.339958777,1.70E-53
"('Person', 'escape')",234.2434084,inf,4.35E-53
"('Person', 'am', 'one')",234.2434084,inf,4.35E-53
"('Person', 'be', 'eager')",234.2434084,inf,4.35E-53
"('Person', 'have', 'life')",234.2434084,inf,4.35E-53
"('Person', 'want', 'she')",232.7139109,inf,9.37E-53
"('Person', 'invite', 'Person')",232.7139109,inf,9.37E-53
"('Person', 'be', 'frightened')",231.1844547,inf,2.02E-52
"('Person', 'understand', 'it')",231.1844547,inf,2.02E-52
"('Person', 'be', 'short')",231.1844547,inf,2.02E-52
"('Person', 'have', 'thought')",231.1844547,inf,2.02E-52
"('Person', 'wail')",229.6550403,inf,4.35E-52
"('Person', 'have', 'kind')",228.1256682,inf,9.38E-52
"('Person', 'know', 'thing')",228.1256682,inf,9.38E-52
"('Person', 'check', 'watch')",228.1256682,inf,9.38E-52
"('Person', 'say', 'this')",226.596339,inf,2.02E-51
"('Person', 'float')",226.596339,inf,2.02E-51
"('Person', 'play', 'game')",226.596339,inf,2.02E-51
"('Person', 'burn')",226.596339,inf,2.02E-51
"('Person', 'see', 'thing')",226.596339,inf,2.02E-51
"('Person', 'become', 'aware')",226.596339,inf,2.02E-51
